effective_date,ticker,in_universe
1963-07-31,BIG HiNI,true
1963-07-31,BIG LoNI,true
1963-07-31,BIG NegNI,true
1963-07-31,BIG ZeroNI,true
1963-07-31,ME1 NI2,true
1963-07-31,ME1 NI3,true
1963-07-31,ME1 NI4,true
1963-07-31,ME2 HiNI,true
1963-07-31,ME2 LoNI,true
1963-07-31,ME2 NI2,true
1963-07-31,ME2 NI3,true
1963-07-31,ME2 NI4,true
1963-07-31,ME2 NegNI,true
1963-07-31,ME2 ZeroNI,true
1963-07-31,ME3 HiNI,true
1963-07-31,ME3 LoNI,true
1963-07-31,ME3 NI2,true
1963-07-31,ME3 NI3,true
1963-07-31,ME3 NI4,true
1963-07-31,ME3 NegNI,true
1963-07-31,ME3 ZeroNI,true
1963-07-31,ME4 HiNI,true
1963-07-31,ME4 LoNI,true
1963-07-31,ME4 NI2,true
1963-07-31,ME4 NI3,true
1963-07-31,ME4 NI4,true
1963-07-31,ME4 NegNI,true
1963-07-31,ME4 ZeroNI,true
1963-07-31,ME5 NI2,true
1963-07-31,ME5 NI3,true
1963-07-31,ME5 NI4,true
1963-07-31,SMALL HiNI,true
1963-07-31,SMALL LoNI,true
1963-07-31,SMALL NegNI,true
1963-07-31,SMALL ZeroNI,true
