effective_date,ticker,in_universe
2016-12-31,AAL,True
2016-12-31,AAPL,True
2016-12-31,ADBE,True
2016-12-31,ADI,True
2016-12-31,ADP,True
2016-12-31,ADSK,True
2016-12-31,AKAM,True
2016-12-31,ALXN,True
2016-12-31,AMAT,True
2016-12-31,AMGN,True
2016-12-31,AMZN,True
2016-12-31,ATVI,True
2016-12-31,AVGO,True
2016-12-31,BIDU,True
2016-12-31,BIIB,True
2016-12-31,BKNG,True
2016-12-31,BMRN,True
2016-12-31,CA,True
2016-12-31,CELG,True
2016-12-31,CERN,True
2016-12-31,CHKP,True
2016-12-31,CHTR,True
2016-12-31,CMCSA,True
2016-12-31,COST,True
2016-12-31,CSCO,True
2016-12-31,CSX,True
2016-12-31,CTAS,True
2016-12-31,CTSH,True
2016-12-31,CTXS,True
2016-12-31,DISCA,True
2016-12-31,DISCK,True
2016-12-31,DISH,True
2016-12-31,DLTR,True
2016-12-31,EA,True
2016-12-31,EBAY,True
2016-12-31,ESRX,True
2016-12-31,EXPE,True
2016-12-31,FAST,True
2016-12-31,FI,True
2016-12-31,FOX,True
2016-12-31,FOXA,True
2016-12-31,GILD,True
2016-12-31,GOOG,True
2016-12-31,GOOGL,True
2016-12-31,HAS,True
2016-12-31,HOLX,True
2016-12-31,HSIC,True
2016-12-31,ILMN,True
2016-12-31,INCY,True
2016-12-31,INTC,True
2016-12-31,INTU,True
2016-12-31,ISRG,True
2016-12-31,JD,True
2016-12-31,KHC,True
2016-12-31,KLAC,True
2016-12-31,LBTYA,True
2016-12-31,LBTYK,True
2016-12-31,LRCX,True
2016-12-31,MAR,True
2016-12-31,MAT,True
2016-12-31,MCHP,True
2016-12-31,MDLZ,True
2016-12-31,META,True
2016-12-31,MNST,True
2016-12-31,MSFT,True
2016-12-31,MU,True
2016-12-31,MXIM,True
2016-12-31,MYL,True
2016-12-31,NCLH,True
2016-12-31,NFLX,True
2016-12-31,NLOK,True
2016-12-31,NTES,True
2016-12-31,NVDA,True
2016-12-31,NXPI,True
2016-12-31,ORLY,True
2016-12-31,PAYX,True
2016-12-31,PCAR,True
2016-12-31,PYPL,True
2016-12-31,QCOM,True
2016-12-31,QRTEA,True
2016-12-31,REGN,True
2016-12-31,ROST,True
2016-12-31,SBAC,True
2016-12-31,SBUX,True
2016-12-31,SHPG,True
2016-12-31,SIRI,True
2016-12-31,STX,True
2016-12-31,SWKS,True
2016-12-31,TCOM,True
2016-12-31,TMUS,True
2016-12-31,TRIP,True
2016-12-31,TSCO,True
2016-12-31,TSLA,True
2016-12-31,TXN,True
2016-12-31,ULTA,True
2016-12-31,VIAB,True
2016-12-31,VOD,True
2016-12-31,VRSK,True
2016-12-31,VRTX,True
2016-12-31,WBA,True
2016-12-31,WDC,True
2016-12-31,XLNX,True
2016-12-31,XRAY,True
2016-12-31,YHOO,True
2017-02-07,JBHT,True
2017-02-07,NXPI,False
2017-03-20,IDXX,True
2017-03-20,SBAC,False
2017-04-24,TRIP,False
2017-04-24,WYNN,True
2017-06-19,MELI,True
2017-06-19,YHOO,False
2017-10-23,ALGN,True
2017-10-23,MAT,False
2017-12-18,AKAM,False
2017-12-18,ASML,True
2017-12-18,CDNS,True
2017-12-18,DISCA,False
2017-12-18,DISCK,False
2017-12-18,NCLH,False
2017-12-18,SNPS,True
2017-12-18,TSCO,False
2017-12-18,TTWO,True
2017-12-18,VIAB,False
2017-12-18,WDAY,True
2018-07-23,DISH,False
2018-07-23,PEP,True
2018-11-05,CA,False
2018-11-05,NXPI,True
2018-11-19,XEL,True
2018-11-19,XRAY,False
2018-12-24,AMD,True
2018-12-24,ESRX,False
2018-12-24,HOLX,False
2018-12-24,LULU,True
2018-12-24,NTAP,True
2018-12-24,QRTEA,False
2018-12-24,SHPG,False
2018-12-24,STX,False
2018-12-24,UAL,True
2018-12-24,VOD,False
2018-12-24,VRSN,True
2018-12-24,WTW,True
2019-11-21,CELG,False
2019-11-21,EXC,True
2019-12-23,ANSS,True
2019-12-23,CDW,True
2019-12-23,CPRT,True
2019-12-23,CSGP,True
2019-12-23,HAS,False
2019-12-23,HSIC,False
2019-12-23,JBHT,False
2019-12-23,MYL,False
2019-12-23,NLOK,False
2019-12-23,SGEN,True
2019-12-23,SPLK,True
2019-12-23,WYNN,False
2020-04-20,AAL,False
2020-04-20,DXCM,True
2020-04-30,WTW,False
2020-04-30,ZM,True
2020-06-22,DOCU,True
2020-06-22,UAL,False
2020-07-20,CSGP,False
2020-07-20,MRNA,True
2020-08-24,NTAP,False
2020-08-24,PDD,True
2020-10-19,KDP,True
2020-10-19,WDC,False
2020-12-21,AEP,True
2020-12-21,BMRN,False
2020-12-21,CTXS,False
2020-12-21,EXPE,False
2020-12-21,LBTYA,False
2020-12-21,LBTYK,False
2020-12-21,MRVL,True
2020-12-21,MTCH,True
2020-12-21,OKTA,True
2020-12-21,PTON,True
2020-12-21,TEAM,True
2020-12-21,TTWO,False
2020-12-21,ULTA,False
2021-07-21,ALXN,False
2021-07-21,HON,True
2021-08-26,CRWD,True
2021-08-26,MXIM,False
2021-12-20,ABNB,True
2021-12-20,CDW,False
2021-12-20,CERN,False
2021-12-20,CHKP,False
2021-12-20,DDOG,True
2021-12-20,FOX,False
2021-12-20,FOXA,False
2021-12-20,FTNT,True
2021-12-20,INCY,False
2021-12-20,LCID,True
2021-12-20,PANW,True
2021-12-20,TCOM,False
2021-12-20,ZS,True
2022-01-24,ODFL,True
2022-01-24,PTON,False
2022-02-02,CEG,True
2022-02-22,AZN,True
2022-02-22,XLNX,False
2022-11-21,ENPH,True
2022-11-21,OKTA,False
2022-12-19,BIDU,False
2022-12-19,BKR,True
2022-12-19,CSGP,True
2022-12-19,DOCU,False
2022-12-19,FANG,True
2022-12-19,GFS,True
2022-12-19,MTCH,False
2022-12-19,NTES,False
2022-12-19,RIVN,True
2022-12-19,SPLK,False
2022-12-19,SWKS,False
2022-12-19,VRSN,False
2022-12-19,WBD,True
2023-06-07,FI,False
2023-06-07,GEHC,True
2023-06-20,ON,True
2023-06-20,RIVN,False
2023-07-17,ATVI,False
2023-07-17,TTD,True
2023-12-14,SGEN,False
2023-12-14,TTWO,True
2023-12-18,ALGN,False
2023-12-18,CCEP,True
2023-12-18,CDW,True
2023-12-18,DASH,True
2023-12-18,EBAY,False
2023-12-18,ENPH,False
2023-12-18,JD,False
2023-12-18,LCID,False
2023-12-18,MDB,True
2023-12-18,ROP,True
2023-12-18,SPLK,True
2023-12-18,ZM,False
2024-03-18,LIN,True
2024-03-18,SPLK,False
2024-06-24,ARM,True
2024-06-24,SIRI,False
2024-07-22,SMCI,True
2024-07-22,WBA,False
2024-11-18,APP,True
2024-11-18,DLTR,False
2024-12-23,AXON,True
2024-12-23,ILMN,False
2024-12-23,MRNA,False
2024-12-23,MSTR,True
2024-12-23,PLTR,True
2024-12-23,SMCI,False
2025-05-19,MDB,False
2025-05-19,SHOP,True
2025-07-17,ANSS,False
2025-07-28,TRI,True
2025-10-30,SOLS,True
2025-11-06,SOLS,False
2025-12-22,ALNY,True
2025-12-22,BIIB,False
2025-12-22,CDW,False
2025-12-22,FER,True
2025-12-22,GFS,False
2025-12-22,INSM,True
2025-12-22,LULU,False
2025-12-22,MPWR,True
2025-12-22,ON,False
2025-12-22,STX,True
2025-12-22,TTD,False
2025-12-22,WDC,True
