ticker,cik,effective_start,effective_end,sector,component_security_name,sec_entity_name,mapping_source,sector_source
AAL,6201,,,Transportation Utilities,American Airlines | American Airlines Group,AMERICAN AIRLINES GROUP INC.,SEC company_tickers.json,SEC submissions SIC
AAPL,320193,,,Manufacturing,Apple Inc.,Apple Inc.,SEC company_tickers.json,SEC submissions SIC
ABNB,1559720,,,Services,Airbnb,"Airbnb, Inc.",SEC company_tickers.json,SEC submissions SIC
ADBE,796343,,,Services,Adobe Inc.,ADOBE INC.,SEC company_tickers.json,SEC submissions SIC
ADI,6281,,,Manufacturing,Analog Devices,"Analog Devices, Inc.",SEC company_tickers.json,SEC submissions SIC
ADP,8670,,,Services,Automatic Data Processing,AUTOMATIC DATA PROCESSING INC,SEC company_tickers.json,SEC submissions SIC
ADSK,769397,,,Services,Autodesk,"AUTODESK, INC.",SEC company_tickers.json,SEC submissions SIC
AEP,4904,,,Transportation Utilities,American Electric Power,"American Electric Power Company, Inc.",SEC company_tickers.json,SEC submissions SIC
AKAM,1086222,,,Services,Akamai Technologies,"AKAMAI TECHNOLOGIES, INC.",SEC company_tickers.json,SEC submissions SIC
ALGN,1097149,,,Manufacturing,Align Technology,"ALIGN TECHNOLOGY, INC.",SEC company_tickers.json,SEC submissions SIC
ALNY,1178670,,,Manufacturing,Alnylam Pharmaceuticals,"ALNYLAM PHARMACEUTICALS, INC.",SEC company_tickers.json,SEC submissions SIC
ALXN,899866,,,Manufacturing,Alexion Pharmaceuticals,"ALEXION PHARMACEUTICALS, INC.",historical CIK override,SEC submissions SIC
AMAT,6951,,,Manufacturing,Applied Materials,APPLIED MATERIALS INC /DE,SEC company_tickers.json,SEC submissions SIC
AMD,2488,,,Manufacturing,Advanced Micro Devices,ADVANCED MICRO DEVICES INC,SEC company_tickers.json,SEC submissions SIC
AMGN,318154,,,Manufacturing,Amgen,Amgen Inc.,SEC company_tickers.json,SEC submissions SIC
AMZN,1018724,,,Retail,Amazon,AMAZON COM INC,SEC company_tickers.json,SEC submissions SIC
ANSS,1013462,,,Services,Ansys,"ANSYS, Inc.",historical CIK override,SEC submissions SIC
APP,1751008,,,Services,AppLovin,AppLovin Corp,SEC company_tickers.json,SEC submissions SIC
ARM,1973239,,,Manufacturing,Arm Holdings,ARM HOLDINGS PLC /UK,SEC company_tickers.json,SEC submissions SIC
ASML,937966,,,Manufacturing,ASML Holding,ASML HOLDING NV,SEC company_tickers.json,SEC submissions SIC
ATVI,718877,,,Services,Activision Blizzard,"ACTIVISION BLIZZARD, INC.",historical CIK override,SEC submissions SIC
AVGO,1730168,,,Manufacturing,Avago Technologies | Broadcom | Broadcom Corporation,Broadcom Inc.,SEC company_tickers.json,SEC submissions SIC
AXON,1069183,,,Manufacturing,Axon Enterprise,"Axon Enterprise, Inc.",SEC company_tickers.json,SEC submissions SIC
AZN,901832,,,Manufacturing,AstraZeneca,ASTRAZENECA PLC,SEC company_tickers.json,SEC submissions SIC
BIDU,1329099,,,Services,"Baidu | Baidu.com, Inc.","Baidu, Inc.",SEC company_tickers.json,SEC submissions SIC
BIIB,875045,,,Manufacturing,Biogen,BIOGEN INC.,SEC company_tickers.json,SEC submissions SIC
BKNG,1075531,,,Transportation Utilities,Booking Holdings,Booking Holdings Inc.,SEC company_tickers.json,SEC submissions SIC
BKR,1701605,,,Manufacturing,Baker Hughes,Baker Hughes Co,SEC company_tickers.json,SEC submissions SIC
BMRN,1048477,,,Manufacturing,BioMarin Pharmaceutical,BioMarin Pharmaceutical Inc,SEC company_tickers.json,SEC submissions SIC
CA,356028,,,Services,CA Inc. | CA Technologies,"CA, INC.",historical CIK override,SEC submissions SIC
CCEP,1650107,,,Manufacturing,Coca-Cola Europacific Partners,COCA-COLA EUROPACIFIC PARTNERS PLC,SEC company_tickers.json,SEC submissions SIC
CDNS,813672,,,Services,Cadence Design Systems,"CADENCE DESIGN SYSTEMS, INC.",SEC company_tickers.json,SEC submissions SIC
CDW,1402057,,,Retail,CDW | CDW Corporation,CDW CORP,SEC company_tickers.json,SEC submissions SIC
CEG,1868275,,,Transportation Utilities,Constellation Energy,CONSTELLATION ENERGY CORPORATION,SEC company_tickers.json,SEC submissions SIC
CELG,816284,,,Manufacturing,Celgene,CELGENE CORPORATION,historical CIK override,SEC submissions SIC
CERN,804753,,,Services,Cerner,CERNER Corp,historical CIK override,SEC submissions SIC
CHKP,1015922,,,Services,Check Point,CHECK POINT SOFTWARE TECHNOLOGIES LTD.,SEC company_tickers.json,SEC submissions SIC
CHTR,1091667,,,Transportation Utilities,Charter Communications,"Charter Communications, Inc.",SEC company_tickers.json,SEC submissions SIC
CMCSA,1166691,,,Transportation Utilities,Comcast | Comcast Corporation Class A,Comcast Corporation,SEC company_tickers.json,SEC submissions SIC
COST,909832,,,Retail,Costco,COSTCO WHOLESALE CORP /NEW,SEC company_tickers.json,SEC submissions SIC
CPRT,900075,,,Retail,Copart,"COPART, INC.",SEC company_tickers.json,SEC submissions SIC
CRWD,1535527,,,Services,CrowdStrike | Crowdstrike,"CROWDSTRIKE HOLDINGS, INC.",SEC company_tickers.json,SEC submissions SIC
CSCO,858877,,,Manufacturing,Cisco,"CISCO SYSTEMS, INC.",SEC company_tickers.json,SEC submissions SIC
CSGP,1057352,,,Services,CoStar Group,"COSTAR GROUP, INC.",SEC company_tickers.json,SEC submissions SIC
CSX,277948,,,Transportation Utilities,CSX Corporation,CSX CORPORATION,SEC company_tickers.json,SEC submissions SIC
CTAS,723254,,,Manufacturing,Cintas,Cintas Corporation,SEC company_tickers.json,SEC submissions SIC
CTSH,1058290,,,Services,Cognizant,COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,SEC company_tickers.json,SEC submissions SIC
CTXS,877890,,,Services,Citrix Systems,CITRIX SYSTEMS INC,historical CIK override,SEC submissions SIC
DASH,1792789,,,Services,DoorDash,"DOORDASH, INC.",SEC company_tickers.json,SEC submissions SIC
DDOG,1561550,,,Services,Datadog,"Datadog, Inc.",SEC company_tickers.json,SEC submissions SIC
DISCA,1437107,,,Transportation Utilities,Discovery Communications | Discovery Communications Class A | Discovery Communications Series A,"Warner Bros. Discovery, Inc.",historical CIK override,SEC submissions SIC
DISCK,1437107,,,Transportation Utilities,Discovery Communications Series C,"Warner Bros. Discovery, Inc.",historical CIK override,SEC submissions SIC
